portfolio_id,desk_id,office_id,pf_category,start_date,sold,country_code,euribor_rate,currency,libor_rate,bought,creation_date,indicator_code,sell_date,type,hedge_value,status,return
PF00001002,DSK00001001,OFF00001002,B,20040720,110000000,T,0.02074,USD,2.3322159091,109809663.250364,20040720,,20040812,B,,,0.02496
PF00001003,DSK00001002,OFF00001001,A,20040709,176671000,N,0.02074,GBP,5.2696168182,176008436.734042,20040723,,20040812,C,,,0.05496
PF00001005,DSK00001004,OFF00001001,A,20040723,56474000,T,0.02074,USD,2.3322159091,56379532.960333,20040723,,20040817,A,,,0.02496
PF00001006,DSK00001005,OFF00001001,A,20040609,164813000,T,0.02074,USD,2.3322159091,164508841.430956,20040723,,20040713,A,,,0.02496
PF00001007,DSK00001005,OFF00001002,B,20040609,140800000,T,0.02074,USD,2.3322159091,140540156.865526,20040723,,20040713,B,,,0.02496
PF00001008,DSK00001006,OFF00001001,A,20040707,48741000,T,0.02074,USD,2.3322159091,48651265.443737,20040726,,20040810,A,,,0.0249
PF00001010,DSK00001009,OFF00001001,A,20040706,60593500,T,0.02074,USD,2.3322159091,60481810.257055,20040726,,20040809,A,,,0.02493
PF00001011,DSK00001009,OFF00001002,B,20040706,134200000,T,0.02074,USD,2.3322159091,133952634.135628,20040726,,20040809,B,,,0.02493
PF00001012,DSK00001010,OFF00001001,A,20040419,82929000,T,0.02074,USD,2.3322159091,82506155.950746,20040726,,20040720,A,,,0.0246
PF00001016,DSK00001014,OFF00001001,A,20040414,212476000,T,0.02074,USD,2.3322159091,211413997.021623,20040727,,20040713,A,,,0.02466
PF00001018,DSK00001016,OFF00001001,A,20040611,77099000,T,0.02075,USD,2.1819604545,76960823.25525,20040804,,20040716,A,,,0.02502
PF00001019,DSK00001017,OFF00001002,B,20040805,134200000,T,0.02075,USD,2.1819604545,133967789.165452,20040805,,20040908,B,,,0.02496
PF00001020,DSK00001017,OFF00001001,A,20040805,54989000,T,0.02075,USD,2.1819604545,54893850.658856,20040805,,20040908,A,,,0.02496
PF00001022,DSK00001018,OFF00001001,A,20040809,61567000,T,0.02075,USD,2.1819604545,61460979.809823,20040809,,20040909,A,,,0.02484
PF00001026,DSK00001022,OFF00001001,A,20040511,80201000,T,0.02075,USD,2.1819604545,79779018.852159,20040810,,20040812,A,,,0.02511
PF00001027,DSK00001023,OFF00001001,A,20040810,204941000,T,0.02075,USD,2.1819604545,203820722.048009,20040810,,20040913,A,,,0.02526
PF00001029,DSK00001024,OFF00001002,B,20040810,88000000,T,0.02075,USD,2.1819604545,87837792.875822,20040810,,20040913,B,,,0.02493
PF00001030,DSK00001025,OFF00001001,A,20040811,120296000,T,0.02075,USD,2.1819604545,120073996.521985,20040811,,20040914,A,,,0.02496
PF00001031,DSK00001026,OFF00001001,A,20040720,59037000,T,0.02075,USD,2.1819604545,58938127.198698,20040811,,20040827,A,,,0.02499
PF00001033,DSK00001028,OFF00001002,B,20040812,44077000,T,0.02075,USD,2.1819604545,44000732.064421,20040812,,20040915,B,,,0.02496
PF00001034,DSK00001029,OFF00001001,A,20040812,71885000,T,0.02075,USD,2.1819604545,71760913.420548,20040812,,20040915,A,,,0.0249
PF00001035,DSK00001030,OFF00001001,A,20040825,44726000,T,0.02075,USD,2.1819604545,44640884.71315,20040825,,20040929,A,,,0.02496
PF00001037,DSK00001031,OFF00001002,B,20040906,134200000,T,0.02076,USD,2.3671022727,133967789.165452,20040906,,20041008,B,,,0.02496
PF00001038,DSK00001032,OFF00001001,A,20040907,89100000,T,0.02076,USD,2.3671022727,88935568.016471,20040907,,20041011,A,,,0.02496
PF00001039,DSK00001033,OFF00001001,A,20040909,159995000,T,0.02076,USD,2.3671022727,159134875.995249,20040909,,20041214,A,,,0.02538
PF00001040,DSK00001034,OFF00001001,A,20040909,176704000,N,0.02076,GBP,5.1767331818,176006724.046659,20040909,,20041013,C,,,0.05784
PF00001042,DSK00001035,OFF00001002,B,20040909,88000000,T,0.02076,USD,2.3671022727,87847730.600289,20040909,,20041013,B,,,0.02496
PF00001043,DSK00001036,OFF00001001,A,20040910,38819000,T,0.02076,USD,2.3671022727,38751830.161055,20040910,,20041014,A,,,0.02496
PF00001044,DSK00001037,OFF00001001,A,20040910,73557000,T,0.02076,USD,2.3671022727,73429721.815516,20040910,,20041014,A,,,0.02496
PF00001046,DSK00001039,OFF00001001,A,20040913,68343000,T,0.02076,USD,2.3671022727,68224885.666685,20040913,,20041015,A,,,0.02493
PF00001048,DSK00001041,OFF00001002,B,20041006,134200000,T,0.02079,USD,2.4691966667,133949960.074524,20041006,,20041109,B,,,0.0252
PF00001054,DSK00001044,OFF00001001,A,20041011,165792000,T,0.02079,USD,2.4691966667,165475356.011471,20041011,,20041115,A,,,0.02505
PF00001052,DSK00001042,OFF00001001,A,20041007,138083000,T,0.02079,USD,2.4691966667,137842923.574774,20041007,,20041110,A,,,0.02508
PF00001055,DSK00001044,OFF00001002,B,20041011,41800000,T,0.02079,USD,2.4691966667,41720166.722641,20041011,,20041115,B,,,0.02505
PF00001056,DSK00001045,OFF00001001,A,20041011,254232000,T,0.02079,USD,2.4691966667,252824504.912441,20041011,,20050114,A,,,0.02586
PF00001057,DSK00001046,OFF00001001,A,20041011,126214000,T,0.02079,USD,2.4691966667,125972945.519872,20041011,,20041115,A,,,0.02505
PF00001058,DSK00001047,OFF00001001,A,20041012,45760000,T,0.02079,USD,2.4691966667,45672499.103803,20041012,,20041116,A,,,0.02508
PF00001061,DSK00001051,OFF00001001,A,20041015,82962000,T,0.02079,USD,2.4691966667,82506039.539814,20041015,,20050119,A,,,0.02595
